ProviderID,ProviderName,ProviderType
1,Provider 1,Hospital
2,Provider 2,Hospital
3,Provider 3,Specialist
4,Provider 4,Clinic
5,Provider 5,Specialist
6,Provider 6,Specialist
7,Provider 7,Specialist
8,Provider 8,Specialist
9,Provider 9,Hospital
10,Provider 10,Specialist
11,Provider 11,Hospital
12,Provider 12,Clinic
13,Provider 13,Specialist
14,Provider 14,Specialist
15,Provider 15,Hospital
16,Provider 16,Specialist
17,Provider 17,Hospital
18,Provider 18,Clinic
19,Provider 19,Specialist
20,Provider 20,Hospital
21,Provider 21,Hospital
22,Provider 22,Hospital
23,Provider 23,Hospital
24,Provider 24,Clinic
25,Provider 25,Hospital
26,Provider 26,Specialist
27,Provider 27,Clinic
28,Provider 28,Clinic
29,Provider 29,Hospital
30,Provider 30,Clinic
31,Provider 31,Hospital
32,Provider 32,Clinic
33,Provider 33,Clinic
34,Provider 34,Specialist
35,Provider 35,Hospital
36,Provider 36,Clinic
37,Provider 37,Specialist
38,Provider 38,Clinic
39,Provider 39,Hospital
40,Provider 40,Clinic
