CustomerID,CustomerName,City,Segment
1,Customer 1,Coimbatore,Consumer
2,Customer 2,Trichy,Enterprise
3,Customer 3,Chennai,Consumer
4,Customer 4,Bengaluru,Consumer
5,Customer 5,Coimbatore,Enterprise
6,Customer 6,Chennai,Enterprise
7,Customer 7,Madurai,Consumer
8,Customer 8,Chennai,SMB
9,Customer 9,Trichy,Consumer
10,Customer 10,Madurai,Consumer
11,Customer 11,Bengaluru,SMB
12,Customer 12,Chennai,Enterprise
13,Customer 13,Chennai,Consumer
14,Customer 14,Bengaluru,Consumer
15,Customer 15,Bengaluru,Enterprise
16,Customer 16,Trichy,Consumer
17,Customer 17,Madurai,Consumer
18,Customer 18,Bengaluru,Consumer
19,Customer 19,Coimbatore,SMB
20,Customer 20,Madurai,Enterprise
21,Customer 21,Chennai,Enterprise
22,Customer 22,Coimbatore,Enterprise
23,Customer 23,Madurai,Consumer
24,Customer 24,Bengaluru,Enterprise
25,Customer 25,Madurai,SMB
26,Customer 26,Chennai,Enterprise
27,Customer 27,Chennai,Enterprise
28,Customer 28,Chennai,Enterprise
29,Customer 29,Madurai,SMB
30,Customer 30,Bengaluru,SMB
31,Customer 31,Coimbatore,SMB
32,Customer 32,Bengaluru,SMB
33,Customer 33,Coimbatore,SMB
34,Customer 34,Madurai,Consumer
35,Customer 35,Madurai,Consumer
36,Customer 36,Bengaluru,SMB
37,Customer 37,Bengaluru,SMB
38,Customer 38,Coimbatore,Enterprise
39,Customer 39,Trichy,SMB
40,Customer 40,Bengaluru,Consumer
41,Customer 41,Chennai,Enterprise
42,Customer 42,Trichy,Consumer
43,Customer 43,Coimbatore,Consumer
44,Customer 44,Trichy,SMB
45,Customer 45,Chennai,Enterprise
46,Customer 46,Chennai,Enterprise
47,Customer 47,Bengaluru,SMB
48,Customer 48,Coimbatore,Enterprise
49,Customer 49,Coimbatore,Enterprise
50,Customer 50,Trichy,Enterprise
51,Customer 51,Trichy,Consumer
52,Customer 52,Chennai,SMB
53,Customer 53,Trichy,Enterprise
54,Customer 54,Chennai,Consumer
55,Customer 55,Coimbatore,Enterprise
56,Customer 56,Bengaluru,Enterprise
57,Customer 57,Trichy,SMB
58,Customer 58,Trichy,Enterprise
59,Customer 59,Coimbatore,Consumer
60,Customer 60,Trichy,SMB
61,Customer 61,Madurai,Enterprise
62,Customer 62,Chennai,SMB
63,Customer 63,Chennai,Consumer
64,Customer 64,Coimbatore,Consumer
65,Customer 65,Madurai,SMB
66,Customer 66,Trichy,SMB
67,Customer 67,Chennai,Consumer
68,Customer 68,Trichy,SMB
69,Customer 69,Bengaluru,SMB
70,Customer 70,Madurai,SMB
71,Customer 71,Bengaluru,SMB
72,Customer 72,Trichy,SMB
73,Customer 73,Trichy,Consumer
74,Customer 74,Madurai,Consumer
75,Customer 75,Madurai,Consumer
76,Customer 76,Madurai,Enterprise
77,Customer 77,Madurai,Consumer
78,Customer 78,Trichy,Enterprise
79,Customer 79,Madurai,SMB
80,Customer 80,Coimbatore,Consumer
81,Customer 81,Madurai,SMB
82,Customer 82,Bengaluru,SMB
83,Customer 83,Bengaluru,Enterprise
84,Customer 84,Coimbatore,Consumer
85,Customer 85,Bengaluru,Enterprise
86,Customer 86,Chennai,SMB
87,Customer 87,Bengaluru,SMB
88,Customer 88,Trichy,SMB
89,Customer 89,Trichy,Consumer
90,Customer 90,Trichy,Enterprise
91,Customer 91,Trichy,Consumer
92,Customer 92,Madurai,Consumer
93,Customer 93,Madurai,SMB
94,Customer 94,Madurai,Consumer
95,Customer 95,Coimbatore,Enterprise
96,Customer 96,Chennai,Consumer
97,Customer 97,Chennai,Enterprise
98,Customer 98,Madurai,Enterprise
99,Customer 99,Chennai,SMB
100,Customer 100,Bengaluru,Consumer
