ProductID,ProductName,Category,Class
1,Product 1,Electronics,A
2,Product 2,Grocery,A
3,Product 3,Office,B
4,Product 4,Office,B
5,Product 5,Electronics,A
6,Product 6,Grocery,B
7,Product 7,Grocery,B
8,Product 8,Office,A
9,Product 9,Home,A
10,Product 10,Office,C
11,Product 11,Office,B
12,Product 12,Home,C
13,Product 13,Electronics,A
14,Product 14,Office,A
15,Product 15,Electronics,C
16,Product 16,Office,C
17,Product 17,Electronics,C
18,Product 18,Office,C
19,Product 19,Office,A
20,Product 20,Office,A
21,Product 21,Office,C
22,Product 22,Home,C
23,Product 23,Home,A
24,Product 24,Grocery,C
25,Product 25,Home,A
26,Product 26,Grocery,B
27,Product 27,Electronics,A
28,Product 28,Office,B
29,Product 29,Office,A
30,Product 30,Office,B
