OrderID,OrderDate,CustomerID,ProductID,RegionID,Quantity,Revenue,Cost
1,2025-06-28,47,3,R2,2,7832,5301.65
2,2025-06-22,27,16,R1,8,46688,35758.52
3,2025-02-13,85,4,R4,4,32128,25382.18
4,2025-08-11,82,11,R1,7,54516,35891.94
5,2025-02-13,93,6,R2,3,1953,1153.85
6,2025-08-27,84,5,R4,6,16524,11536.04
7,2025-03-09,3,1,R1,3,21921,17895.61
8,2025-04-10,28,1,R3,4,19996,13703.53
9,2025-10-28,42,9,R4,3,3591,2857.38
10,2025-07-01,59,22,R4,3,26739,15802.64
11,2025-09-19,3,28,R4,3,792,601.55
12,2025-03-18,23,5,R4,2,18634,10559.4
13,2025-12-16,67,17,R4,2,18758,10604.69
14,2025-04-08,36,2,R1,8,75224,41939.17
15,2025-02-02,57,11,R2,5,38055,26151.48
16,2025-09-02,65,8,R3,4,30128,17685.93
17,2025-03-04,51,15,R3,2,8284,5514.26
18,2025-04-19,86,10,R1,3,18597,10946.27
19,2025-03-12,60,8,R1,7,57281,34022.32
20,2025-12-08,29,6,R4,7,40292,26743.6
21,2025-07-02,41,3,R3,1,5737,4013.57
22,2025-08-14,91,1,R4,6,52062,37404.48
23,2025-09-20,9,4,R2,2,3154,1960.85
24,2025-01-21,100,6,R3,3,21354,16643.07
25,2025-12-13,34,13,R2,8,44464,25529.22
26,2025-01-30,89,6,R4,2,9212,7400.5
27,2025-11-21,12,26,R3,2,7686,4365.56
28,2025-03-04,59,1,R3,7,32116,23054.79
29,2025-01-23,68,23,R2,2,5690,3531.85
30,2025-04-03,26,30,R3,5,44505,33604.15
31,2025-05-29,58,17,R2,5,29425,22568.78
32,2025-05-09,5,1,R1,4,34500,23397.4
33,2025-08-17,14,22,R4,8,73152,56718.09
34,2025-07-21,65,10,R2,4,23256,14037.99
35,2025-12-28,94,21,R2,7,41258,33629.73
36,2025-03-08,2,3,R3,7,20118,11365.83
37,2025-12-07,49,28,R3,4,20004,11246.53
38,2025-04-05,21,9,R4,1,4512,2925.21
39,2025-06-18,71,11,R2,1,5271,3209.11
40,2025-04-04,1,11,R4,2,15952,9974.96
41,2025-12-02,26,8,R1,2,9056,6978.57
42,2025-03-15,52,19,R1,7,3976,2508.48
43,2025-11-19,30,3,R2,7,38801,28890.56
44,2025-09-11,20,10,R2,1,8604,6189.54
45,2025-12-25,65,5,R1,4,6376,3560.44
46,2025-03-10,82,12,R1,7,53165,37258.16
47,2025-11-18,3,21,R2,8,36168,19924.77
48,2025-02-05,96,30,R1,2,15926,9843.74
49,2025-02-08,34,8,R2,4,30968,21162.48
50,2025-07-15,10,16,R3,1,3448,1968.52
51,2025-03-17,43,9,R3,3,1212,824.47
52,2025-09-06,35,22,R1,4,32884,20668.62
53,2025-09-22,37,15,R4,8,17128,14013.98
54,2025-10-09,26,10,R1,8,3888,2442.4
55,2025-02-09,65,15,R3,7,25459,20302.78
56,2025-04-18,10,19,R1,3,26358,16360.11
57,2025-07-04,17,20,R3,2,12366,7573.85
58,2025-09-06,51,1,R2,1,8255,6059.41
59,2025-07-27,39,24,R2,7,40845,26612.5
60,2025-03-03,43,1,R3,6,40350,23500.29
61,2025-04-11,92,1,R3,5,31490,17871.96
62,2025-07-19,76,3,R3,7,32956,25727.07
63,2025-05-24,14,2,R3,3,12852,10438.14
64,2025-08-12,66,11,R2,6,43248,34111.95
65,2025-11-20,52,30,R2,2,2020,1620.11
66,2025-07-30,58,20,R2,5,40775,22965.45
67,2025-10-09,17,6,R4,7,40810,25549.98
68,2025-05-11,95,24,R3,7,28770,18160.37
69,2025-10-13,86,13,R1,3,8544,4872.61
70,2025-09-14,64,18,R2,8,45224,37040.64
71,2025-08-19,55,5,R2,4,6744,4027.3
