Year,MonthNo,RegionID,Target
2025,1,R1,206024
2025,1,R2,190536
2025,1,R3,182105
2025,1,R4,342370
2025,2,R1,320602
2025,2,R2,182561
2025,2,R3,339155
2025,2,R4,233092
2025,3,R1,326896
2025,3,R2,165501
2025,3,R3,331041
2025,3,R4,210188
2025,4,R1,237889
2025,4,R2,205245
2025,4,R3,368218
2025,4,R4,191006
2025,5,R1,386035
2025,5,R2,265961
2025,5,R3,228322
2025,5,R4,173944
2025,6,R1,231213
2025,6,R2,394496
2025,6,R3,244979
2025,6,R4,285131
2025,7,R1,349045
2025,7,R2,312536
2025,7,R3,202555
2025,7,R4,259902
2025,8,R1,345433
2025,8,R2,268931
2025,8,R3,391212
2025,8,R4,265540
2025,9,R1,213360
2025,9,R2,226793
2025,9,R3,353601
2025,9,R4,357770
2025,10,R1,393574
2025,10,R2,396265
2025,10,R3,259157
2025,10,R4,173661
2025,11,R1,387844
2025,11,R2,312374
2025,11,R3,152702
2025,11,R4,175251
2025,12,R1,239169
2025,12,R2,273284
2025,12,R3,273952
2025,12,R4,372296
