SupplierID,SupplierName,SupplierType
1,Supplier 1,Local
2,Supplier 2,International
3,Supplier 3,Local
4,Supplier 4,International
5,Supplier 5,Local
6,Supplier 6,International
7,Supplier 7,National
8,Supplier 8,Local
9,Supplier 9,International
10,Supplier 10,International
11,Supplier 11,National
12,Supplier 12,National
13,Supplier 13,Local
14,Supplier 14,National
15,Supplier 15,Local
16,Supplier 16,International
17,Supplier 17,National
18,Supplier 18,National
19,Supplier 19,Local
20,Supplier 20,International
21,Supplier 21,National
22,Supplier 22,National
23,Supplier 23,International
24,Supplier 24,International
25,Supplier 25,International
26,Supplier 26,National
27,Supplier 27,National
28,Supplier 28,International
29,Supplier 29,Local
30,Supplier 30,National
31,Supplier 31,Local
32,Supplier 32,National
33,Supplier 33,International
34,Supplier 34,National
35,Supplier 35,National
36,Supplier 36,Local
37,Supplier 37,International
38,Supplier 38,National
39,Supplier 39,International
40,Supplier 40,Local
41,Supplier 41,Local
42,Supplier 42,National
43,Supplier 43,Local
44,Supplier 44,International
45,Supplier 45,Local
46,Supplier 46,Local
47,Supplier 47,International
48,Supplier 48,International
49,Supplier 49,Local
50,Supplier 50,National
