InventoryID,ProductID,WarehouseID,Units,InventoryValue,LastMovement
1,160,6,1177,283718.66,2025-11-28
2,172,3,1241,448283.89,2025-07-03
3,67,7,642,165648.48,2025-02-19
4,160,4,1474,400147.22,2025-05-25
5,131,5,1193,406025.99,2025-09-13
6,96,8,84,20578.59,2025-12-20
7,129,5,1128,378620.93,2025-05-14
8,87,6,289,14674.47,2025-08-30
9,108,5,1405,235708.77,2025-03-01
10,22,6,220,102148.25,2025-02-17
11,153,4,1171,95984.65,2025-09-09
12,125,4,1305,338481.07,2025-12-20
13,34,10,1398,160033.05,2025-07-12
14,177,9,1300,96471.39,2025-10-03
15,167,5,53,25344.5,2025-02-19
16,191,2,168,42138.09,2025-12-13
17,85,6,452,117740.4,2025-10-22
18,55,1,680,319506.99,2025-10-15
19,119,9,745,91363.08,2025-11-29
20,22,5,936,140636.84,2025-04-09
21,127,6,10,1916.04,2025-01-03
22,41,1,442,125485.61,2025-10-26
23,116,10,1149,565329.39,2025-06-29
24,44,5,1706,534149.46,2025-10-16
25,72,3,347,103436.89,2025-05-02
26,47,6,1590,615304.96,2025-02-19
27,94,5,452,143923.97,2025-01-18
28,161,6,1585,542928.23,2025-11-12
29,100,5,1859,494611.59,2025-06-17
30,24,4,1123,468691.86,2025-05-13
31,31,4,484,192835.3,2025-02-12
32,137,4,729,342683.83,2025-08-17
33,23,6,1887,550166.46,2025-09-26
34,98,8,1867,816779.93,2025-07-08
35,41,8,109,49195.62,2025-09-15
36,60,2,548,46647.48,2025-08-07
37,143,4,407,44752.85,2025-01-30
38,103,1,1358,262396.43,2025-01-07
39,100,2,127,55320.83,2025-06-09
40,55,3,1654,528696.64,2025-09-16
41,190,9,275,112810.6,2025-07-08
42,161,6,175,87478.01,2025-07-30
43,83,2,1095,378471.93,2025-07-30
44,111,1,104,3707.15,2025-02-02
45,47,7,736,93215.16,2025-07-18
46,40,4,824,267213.5,2025-10-29
47,9,9,1299,524233.14,2025-01-23
48,119,5,1651,37116.38,2025-08-02
49,15,6,1879,682686.56,2025-10-02
50,192,8,1996,884493.42,2025-03-29
51,89,4,885,415043.4,2025-09-21
52,131,7,1304,420850.86,2025-03-28
53,11,5,665,41228.08,2025-06-01
54,74,1,1534,165151.34,2025-01-29
55,91,6,1987,238195.55,2025-05-29
56,152,5,849,247744.09,2025-11-04
57,60,10,506,107536.49,2025-07-06
58,189,6,1706,398908.26,2025-02-04
59,183,2,1517,391568.46,2025-09-27
60,75,10,391,172331.55,2025-03-28
61,132,10,264,114367.7,2025-01-01
62,147,1,924,150597.78,2025-04-01
63,122,2,418,163244.47,2025-10-21
64,185,3,43,20712.06,2025-04-20
65,8,2,1669,269669.18,2025-11-29
66,92,2,1541,597850.68,2025-12-18
67,90,1,1308,426070.76,2025-02-07
68,154,8,1447,74392.45,2025-07-13
69,184,10,986,418789.04,2025-10-23
70,21,3,657,317676.49,2025-03-05
71,5,8,653,187833.12,2025-10-31
72,95,7,1870,189867.81,2025-05-12
73,17,3,1635,423180.29,2025-05-06
74,7,7,1041,128844.06,2025-02-03
75,4,8,207,48739.39,2025-01-11
76,1,6,231,35247.84,2025-11-13
77,178,3,1791,433500.3,2025-09-02
78,113,6,112,19745.91,2025-03-19
79,117,8,1838,430448.88,2025-01-08
80,119,9,360,55571.41,2025-01-04
81,114,1,1127,305597.45,2025-01-03
82,165,1,1442,603952.64,2025-02-14
83,125,2,832,136676.03,2025-09-30
84,102,7,772,257096.15,2025-10-26
85,75,6,1507,268384.63,2025-05-12
86,174,7,790,281959.33,2025-06-15
87,141,7,978,186551.84,2025-01-19
88,117,10,1891,870443.22,2025-09-27
89,22,8,847,327974.84,2025-02-23
90,32,4,1330,97147.59,2025-10-27
91,85,9,1179,50854.93,2025-03-29
92,83,1,1314,570759.7,2025-05-15
93,144,4,1989,910174.37,2025-04-01
94,190,8,1964,574086.26,2025-01-16
95,19,6,1552,648791.59,2025-05-28
